	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2Hep	HSC2Hep	LSEC2Hep	TotalSpec	Newinfluence
30	Cebpb	0.50419982316534	86.1400146640237	0.236876953375072	1502	0.236876953375072	8.77730231821223e-119	0	1	1	2	0.50209991158267
31	Cebpg	0.237547892720306	35.4554974052002	0.0468851684092433	839.666666666667	0.0468851684092433	8.8602693897926e-110	0	1	0	1	0.309386973180077
32	Cebpz	0.151340996168582	15.8895319639108	0.0341779774565933	129.666666666667	0.0341779774565933	1.04712736351515e-22	NA	NA	NA	0	0.25
33	Cenpb	0.00957854406130268	9.41131469598646	0.00736113875262773	2.66666666666667	0.00736113875262773	0.00813670604906623	NA	NA	NA	0	0.25
34	Chd1	0.17290982484948	36.0687999259475	0.0451561301488844	89.6666666666667	0.0451561301488844	6.13845165728967e-37	NA	NA	NA	0	0.25
35	Chd2	0.44757326007326	87.0991108968827	0.194975468591603	838.333333333333	0.194975468591603	5.06398609128563e-232	NA	NA	NA	0	0.25
36	Clock	0.0610119047619048	0.337655982288305	0.0348688898884207	8.33333333333333	0.0348688898884207	2.15413317315319e-222	NA	NA	NA	0	0.25
37	Cpeb1	0.533547271693823	151.627271335089	0.0855926428518636	2411.66666666667	0.0855926428518636	1.09117714308275e-48	NA	NA	NA	0	0.25
38	Creb3l2	0.278273809523809	91.6442060714729	0.0680875728340803	1322.66666666667	0.0680875728340803	0	1	0	0	1	0.319568452380952
39	Creb3l3	0.947411424782114	285.720857646762	0.653417935531339	8107	0.653417935531339	0	1	1	1	3	0.960558568586586
40	Crebbp	0.110119047619048	0	0.099795572476921	0.333333333333333	0.099795572476921	0	NA	NA	NA	0	0.25
41	Crebzf	0.0922619047619048	37.9074585920083	0.00415671411909427	214	0.00415671411909427	3.8630351155466e-75	NA	NA	NA	0	0.25
42	Crem	0.690670919119195	112.161280877138	0.260017223662205	1107.66666666667	0.260017223662205	5.04074862485753e-210	1	1	0	2	0.595335459559597
43	Crtc1	0.0509412761567934	17.2259655955282	0.0368633016032405	22.6666666666667	0.0368633016032405	4.94591947818563e-47	NA	NA	NA	0	0.25
44	Crtc3	0.09375	0.0788791801479163	0.0545173704998673	2.66666666666667	0.0545173704998673	0	NA	NA	NA	0	0.25
45	Cux1	0.666895604395604	303.098040895433	0.106808886640459	11000	0.106808886640459	0.000184090547870628	1	0	0	1	0.416723901098901
46	Cux2	0.734376973601112	421.891923768417	0.0809780214929045	21865.3333333333	0.0809780214929045	2.65033232240469e-60	1	1	0	2	0.617188486800556
47	Cxxc1	0.00744047619047619	0.203720170887812	0.00689140109996777	4.33333333333333	0.00689140109996777	1.19252663253908e-62	NA	NA	NA	0	0.25
48	Dbp	0.286486621615932	74.5020023592182	0.0471848034500041	404.333333333333	0.0471848034500041	1.85480475600965e-59	NA	NA	NA	0	0.25
49	E2f3	0.418229758747	92.4823746564373	0.0781055087261146	531.666666666667	0.0781055087261146	3.3653361607765e-85	NA	NA	NA	0	0.25
50	Ebna1bp2	0.0517241379310345	14.3534999074602	0.006778928317893	78.3333333333333	0.006778928317893	2.29717570426879e-05	NA	NA	NA	0	0.25
51	Elk4	0.12797619047619	35.0228204130218	0.026937897300784	121.333333333333	0.026937897300784	9.36842473726077e-221	NA	NA	NA	0	0.25
52	Eno1	0.634616700349459	45.5571458364908	0.621890129185414	273	0.621890129185414	0	0	0	1	1	0.408654175087365
53	Epas1	0.254464285714286	44.9948721450235	0.128466413395467	492.333333333333	0.128466413395467	0	1	0	0	1	0.313616071428571
54	Esr1	0.559142246642247	113.283050690939	0.599356546665922	1608.66666666667	0.599356546665922	0	1	0	1	2	0.529571123321123
55	Esrra	0.480604764009936	88.6203868325307	0.116132791470824	827	0.116132791470824	1.49204065295408e-159	0	1	0	1	0.370151191002484
56	Esrrg	0.867822670624395	241.026634072163	0.377635234558295	6876	0.377635234558295	5.1504937491233e-181	1	1	1	3	0.900867002968296
57	Etv6	0.407318376068376	52.9834071250733	0.30299295070292	208	0.30299295070292	0	NA	NA	NA	0	0.25
