	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2HSC	LSEC2HSC	Hep2HSC	TotalSpec	Newinfluence
92	Jund	0.113475177304965	36.0310169103574	0.00859279616819467	222	0.00859279616819467	5.28293091163487e-08	NA	NA	NA	0	0.25
93	Klf10	0.0673758865248227	31.6450832516206	0	134.333333333333	0.014584451663908	0.204356707500812	NA	NA	NA	0	0.25
94	Klf12	0.563687865497076	110.890936699279	0.356415255691223	2123.33333333333	0.356415255691223	0	1	1	0	2	0.531843932748538
95	Klf2	0.296099290780142	57.9726041253202	0.108174389648411	1218.66666666667	0.108174389648411	0	0	0	1	1	0.324024822695035
96	Klf3	0.0336879432624113	26.8913193761245	0.000623985876749667	108.333333333333	0.000623985876749667	5.98334360055607e-12	NA	NA	NA	0	0.25
97	Klf6	0.280141843971631	54.765358858379	0.0929444119347167	740.333333333333	0.0929444119347167	0	0	0	1	1	0.320035460992908
98	Klf7	0.339354314420804	54.1706186812169	0.248002592429123	495.333333333333	0.248002592429123	3.24035664213009e-17	0	0	1	1	0.334838578605201
99	Klf9	0.294473995271868	73.2252369203233	0.148527097181478	279.666666666667	0.179754465455167	0.114626857724843	1	0	0	1	0.323618498817967
100	Lcor	0.523026315789474	96.0972494069747	0.266605775980594	1342.66666666667	0.266605775980594	4.33548827031177e-110	1	1	0	2	0.511513157894737
101	Lhx2	0.959775880303596	311.115803759054	0.751692196255108	19330.6666666667	0.751692196255108	0	1	1	1	3	0.969831910227697
102	Maf	0.234042553191489	34.6935330666784	0.127791470604668	227.333333333333	0.127791470604668	0	0	0	1	1	0.308510638297872
103	Max	0.102836879432624	34.0976618461419	0.0107769334817028	188	0.0107769334817028	3.53199478023587e-06	NA	NA	NA	0	0.25
104	Maz	0.0230496453900709	26.2671941796849	0	84.6666666666667	0.0101464988236667	0.328182371918499	NA	NA	NA	0	0.25
105	Mbd1	0.420914598108747	95.0402892455171	0.14602854900294	959	0.14602854900294	3.54925869135273e-48	NA	NA	NA	0	0.25
106	Mbd2	0.273160460992908	60.1832852697614	0.144080617438373	229	0.144080617438373	2.81864085117478e-13	NA	NA	NA	0	0.25
107	Mdfic	0.263223995271868	94.0730294520152	0.0341541421305159	724.333333333333	0.0341541421305159	0.00423627089100233	NA	NA	NA	0	0.25
108	Mdm4	0.154770514495458	44.9943537142415	0.130106395145463	169	0.163128405520674	0.236600356093309	NA	NA	NA	0	0.25
109	Mecp2	0.572702811994525	117.209465846708	0.221522917936209	830	0.221522917936209	5.41122328768062e-10	NA	NA	NA	0	0.25
110	Mef2a	0.276595744680851	56.3026901784604	0.0868097849980697	826	0.0868097849980697	1.93843497707326e-43	0	0	1	1	0.319148936170213
111	Mef2c	0.377105496453901	115.338504650981	0.126205084152831	5028.66666666667	0.126205084152831	0	0	0	1	1	0.344276374113475
112	Mef2d	0.145390070921986	51.2081066560772	0.00316058925760047	567.666666666667	0.00316058925760047	1.29178069084943e-11	NA	NA	NA	0	0.25
113	Meis1	0.387743794326241	68.7942623073212	0.212204770078348	353	0.212204770078348	2.47965338370646e-46	NA	NA	NA	0	0.25
114	Meis2	0.475546690307329	80.8480322797386	0.229883735758783	547.666666666667	0.229883735758783	3.68067503285387e-124	0	0	1	1	0.368886672576832
115	Mga	0.130171394799054	18.2099451967554	0.098018617382588	28.6666666666667	0.098018617382588	1.7191759985414e-06	NA	NA	NA	0	0.25
116	Mlxip	0.227393617021277	75.8115760788993	0.0478280603140491	359.333333333333	0.0478280603140491	1.21163653093232e-06	NA	NA	NA	0	0.25
117	Mlxipl	0.460800438596491	81.3286140222405	0.22652979532903	455.666666666667	0.22652979532903	0	0	1	0	1	0.365200109649123
118	Myef2	0.426647847455518	126.51598075063	0.100991098461889	898	0.122182973056973	0.165377636586419	NA	NA	NA	0	0.25
119	Nab1	0.0347222222222222	29.1808647759288	0	72.6666666666667	0.00616309536798763	0.100772552501107	NA	NA	NA	0	0.25
120	Nf1	0.894155546223715	323.425471606143	0.514597048504954	18249.6666666667	0.514597048504954	5.00638222440523e-47	1	1	1	3	0.920616659667786
121	Nfat5	0.877659574468085	154.255300710637	0.708789713208607	2277	0.708789713208607	1.85823442145583e-180	1	1	1	3	0.908244680851064
122	Nfatc3	0.175895467836257	65.3981850725024	0.0570073763761637	346.666666666667	0.0570073763761637	9.32570583077993e-07	NA	NA	NA	0	0.25
123	Nfe2l1	0.0780141843971631	33.2600702493866	0	177	0.0168303641204176	0.193741512539397	NA	NA	NA	0	0.25
124	Nfia	0.907041262286923	210.198480122912	1.37125430747631	8529.66666666667	1.37125430747631	2.55832796282487e-279	1	1	1	3	0.930280946715192
125	Nfib	0.910569864377255	252.471800705437	1.58721341427417	10432.3333333333	1.58721341427417	0	1	1	1	3	0.932927398282941
126	Nfic	0.516807033096927	137.235934357197	0.190133394625223	3196.66666666667	0.190133394625223	1.63739368864394e-28	1	0	0	1	0.379201758274232
127	Nfix	0.269097222222222	121.853013168963	0.087834221684673	6948.66666666667	0.087834221684673	3.6530727649215e-120	1	0	0	1	0.317274305555556
128	Nfkb1	0.232269503546099	37.6931214675167	0.0938178074586593	229.666666666667	0.0938178074586593	7.30546535091113e-57	NA	NA	NA	0	0.25
129	Nfkbia	0.210992907801418	47.2955572568354	0.047953886305313	420.666666666667	0.047953886305313	5.6195554841324e-10	NA	NA	NA	0	0.25
130	Nfkbiz	0.200354609929078	45.6904947744347	0.0403246635566473	389.333333333333	0.0403246635566473	2.34292530385541e-07	NA	NA	NA	0	0.25
131	Nfyc	0.273209064327485	65.114338432533	0.128262276646643	303	0.128262276646643	6.27775817305687e-48	NA	NA	NA	0	0.25
132	Nmi	0.294658687943262	114.908056752873	0.0218223336722012	1450.66666666667	0.0430985208794718	0.173205998508873	NA	NA	NA	0	0.25
133	Npas2	0.636139884285181	164.380073719032	0.211558213415604	4429.33333333333	0.211558213415604	9.30964635180507e-44	1	1	0	2	0.568069942142591
134	Npas3	0.793037280701754	172.937229963382	0.412874456242658	6463.66666666667	0.412874456242658	0	1	1	1	3	0.844777960526316
135	Nr1d2	0.364126461988304	91.2072970577221	0.121187218601386	1294.66666666667	0.121187218601386	0.0003449609852013	0	1	0	1	0.341031615497076
136	Nr1h2	0.0957446808510638	35.4323115204478	0	222	0.0085301000753996	0.293845696940305	NA	NA	NA	0	0.25
137	Nr1h4	0.890729983202687	305.972056074751	1.81357260327192	17997.3333333333	1.81357260327192	0	1	1	0	2	0.695364991601344
138	Nr1h5	0.992981678486998	391.840162424478	1.414793456583	21637.3333333333	1.414793456583	0	1	1	1	3	0.994736258865248
139	Nr2c2	0.340641330720418	95.5800909477228	0.133590576518783	400.666666666667	0.174131151651211	0.0520275389198615	NA	NA	NA	0	0.25
140	Nr2f1	0.398677600472813	105.728155974604	0.0998249030574387	1070.66666666667	0.0998249030574387	0	NA	NA	NA	0	0.25
141	Nr2f2	0.598071808510638	103.512400935152	0.71161317693133	1094.33333333333	0.71161317693133	0	1	0	1	2	0.549035904255319
142	Nr3c1	0.47052304964539	84.3750155060403	0.195367940988002	479	0.195367940988002	1.96029910872792e-50	0	0	1	1	0.367630762411348
143	Nr3c2	0.566794590643275	110.25419490344	0.364969083423921	2288.33333333333	0.364969083423921	0	1	1	0	2	0.533397295321637
144	Nr6a1	0.217196637426901	35.7716047910866	0.165971635548835	127	0.165971635548835	3.4542710031214e-197	NA	NA	NA	0	0.25
145	Nrf1	0.430569164489237	101.553808048268	0.188937655285749	497.666666666667	0.188937655285749	8.14326227883235e-08	NA	NA	NA	0	0.25
146	Patz1	0.386355683090705	107.793164586254	0.1196886423722	641.666666666667	0.1196886423722	2.28168654725077e-07	NA	NA	NA	0	0.25
147	Pbx1	0.675860473435361	83.4386010917487	1.52777333205077	380	1.52777333205077	0	1	1	0	2	0.587930236717681
148	Pbx3	0.471314311932313	81.3403689337206	0.272463305437145	428.666666666667	0.272463305437145	7.199464361688e-18	NA	NA	NA	0	0.25
149	Pbxip1	0.265698877068558	60.5610344618288	0.134274705905891	258.666666666667	0.134274705905891	0	NA	NA	NA	0	0.25
150	Phf21a	0.663898220729128	95.8561803890522	0.630650366991699	444.333333333333	0.630650366991699	3.48938477175553e-115	1	0	0	1	0.415974555182282
151	Pias1	0.502484602463606	130.631955456521	0.166391334140663	1349	0.166391334140663	0.00131299055321771	0	0	1	1	0.375621150615901
152	Pias2	0.339912280701754	94.8812850995498	0.146414331712182	1411.33333333333	0.146414331712182	1.50725924317968e-09	1	0	0	1	0.334978070175439
153	Pknox2	0.63741717991788	150.629564317583	0.176699489294657	1425.66666666667	0.176699489294657	8.7807010739859e-152	NA	NA	NA	0	0.25
154	Polr2a	0.0691489361702128	32.4935898200103	0	177.666666666667	0.0260734877576918	0.333333333333333	NA	NA	NA	0	0.25
155	Pou2f1	0.49315859462486	129.472827189211	0.155182832516246	1015.66666666667	0.193968001030015	0.161494791807363	NA	NA	NA	0	0.25
156	Ppara	0.602065058479532	146.781164879528	0.364847283854909	3768.66666666667	0.364847283854909	0	1	1	0	2	0.551032529239766
157	Ppard	0.528922872340425	135.752908543406	0.160635962156086	1254.33333333333	0.187226354943056	0.148788619828827	1	0	0	1	0.382230718085106
158	Prdm5	0.762500777653353	153.054930185468	0.280722070668201	3951	0.280722070668201	0	1	1	1	3	0.821875583240015
159	Pten	0.222480791962175	86.3082406096146	0.0885312340625303	379.666666666667	0.122472803717682	0.252197575606137	NA	NA	NA	0	0.25
160	Pura	0.421838061465721	130.783211188205	0.0815263977081232	2515.66666666667	0.0815263977081232	1.27911187601814e-09	0	0	1	1	0.35545951536643
161	Rab11fip3	0.16100535025507	85.9757989606352	0.0570954518688559	321.666666666667	0.0570954518688559	3.54092616262804e-11	NA	NA	NA	0	0.25
162	Rad21	0.0301418439716312	18.9619882397723	0.026613897599295	34.3333333333333	0.026613897599295	0.000247777433821024	NA	NA	NA	0	0.25
163	Rara	0.119385342789598	65.9702284976995	0	251	0.0187373798824395	0.282979469601612	NA	NA	NA	0	0.25
164	Rarb	0.799678440338435	150.367633595227	0.669606604121757	2073	0.669606604121757	2.29933899087602e-76	1	0	1	2	0.649839220169217
165	Rarg	0.453014184397163	97.5847666112332	0.146360362761405	774.333333333333	0.146360362761405	0	0	0	1	1	0.363253546099291
166	Rbfox2	0.469572368421053	83.1205507134189	0.40271268641763	621.333333333333	0.40271268641763	1.60236686089255e-90	1	0	0	1	0.367393092105263
167	Rbpj	0.662255428020406	188.020098256994	0.152668457567414	3499	0.152668457567414	0.00476850781468393	1	0	0	1	0.415563857005101
168	Rela	0.156028368794326	40.3585817246474	0.0350239321292307	275	0.0350239321292307	1.1541681178445e-13	NA	NA	NA	0	0.25
169	Rest	0.147163120567376	54.5236455132824	0	958.333333333333	0.00821488642197157	0.0178795621040288	NA	NA	NA	0	0.25
170	Rfx3	0.477469438223218	94.8743801530969	0.272362064820474	465.333333333333	0.272362064820474	0.0136979491547703	1	0	0	1	0.369367359555804
171	Rfx7	0.164656432748538	39.3207507470646	0.126262818688832	71.6666666666667	0.126262818688832	1.29362520846242e-08	NA	NA	NA	0	0.25
172	Rora	0.770378406121687	130.037252323286	1.41904364449664	1767.33333333333	1.41904364449664	0	1	1	0	2	0.635189203060843
173	Rreb1	0.182291666666667	52.5658448385156	0.095595587948638	182.333333333333	0.146121673986227	0.18175313563805	NA	NA	NA	0	0.25
174	Rxra	0.10233918128655	35.4737067066763	0	252.333333333333	0.0179473893677792	0.138854909811587	NA	NA	NA	0	0.25
175	Scand1	0.115248226950355	33.7229967321312	0.0193526854853711	195	0.0193526854853711	0.000235053025630318	NA	NA	NA	0	0.25
176	Setdb1	0.0332602339181287	38.5436468308166	0.0156960563740453	67.3333333333333	0.0156960563740453	0.000769824007956794	NA	NA	NA	0	0.25
177	Slc20a1	0	11.3031072329602	0	14.3333333333333	0.0122653585780258	0.31810029601534	NA	NA	NA	0	0.25
178	Slc20a2	0.193347953216374	55.803101137608	0.0980511754084213	208.666666666667	0.0980511754084213	6.9313961279236e-45	NA	NA	NA	0	0.25
179	Smad1	0.118794326241135	28.1530318108213	0.043610089964429	109	0.043610089964429	5.32016555538863e-05	NA	NA	NA	0	0.25
180	Smad2	0.0813444848824188	68.2443962603376	0.0163946753696411	176.333333333333	0.0163946753696411	4.32722251300887e-06	NA	NA	NA	0	0.25
181	Smad3	0.370783174692049	96.4482781900397	0.176476410675755	393	0.176476410675755	1.81436946478168e-10	NA	NA	NA	0	0.25
182	Smad4	0.160054669030733	68.0244385467115	0.0491987058049593	290.333333333333	0.0736826830891658	0.039567415714234	NA	NA	NA	0	0.25
183	Smad5	0.404115341545353	97.8023108146283	0.176551929588166	393.333333333333	0.176551929588166	6.02994639812063e-07	NA	NA	NA	0	0.25
184	Smad6	0.515218676122931	140.61593068523	0.218112297058926	7894	0.218112297058926	2.91798263434672e-211	0	0	1	1	0.378804669030733
185	Smad7	0.393395390070922	115.180455567154	0.152744670682419	5944	0.152744670682419	8.8654352175258e-34	0	0	1	1	0.34834884751773
186	Smarca5	0.0709219858156028	31.567543509813	0.0033985203837564	167	0.0033985203837564	4.60830050501523e-10	NA	NA	NA	0	0.25
187	Smarcb1	0.219687072290656	84.2740719005198	0.074179682169509	310.666666666667	0.074179682169509	4.40624652354687e-05	NA	NA	NA	0	0.25
188	Smarcc1	0.0233918128654971	25.5129483726634	0	114.333333333333	0.0177128867845485	0.270523298101483	NA	NA	NA	0	0.25
189	Smarcc2	0.0511968085106383	49.0019351130074	0.00905552696160393	117.666666666667	0.00905552696160393	0.00180760383294207	NA	NA	NA	0	0.25
190	Smc3	0.12714243498818	78.0687861159551	0.0086299465005324	654.666666666667	0.019720837939479	0.0373979450511831	NA	NA	NA	0	0.25
191	Snai1	0.429954818340177	140.416209739852	0.0794788202365499	1469.33333333333	0.0794788202365499	0.0070862690426446	NA	NA	NA	0	0.25
192	Snai2	0.371897163120567	115.39472953421	0.0927820086603376	847	0.0927820086603376	2.19318697734951e-21	NA	NA	NA	0	0.25
193	Sox4	0.486554373522459	108.848517752466	0.161476543944933	1367.33333333333	0.161476543944933	0	0	0	1	1	0.371638593380615
194	Sox5	0.811743732113973	113.860700155274	2.34372281250681	698	2.34372281250681	0	1	0	1	2	0.655871866056986
195	Sox6	0.496162280701754	99.429064100773	0.560453160175216	1575.33333333333	0.560453160175216	0	1	0	0	1	0.374040570175439
196	Sp1	0.161347517730496	39.7311033507124	0.037929565897466	265.333333333333	0.037929565897466	3.6303745513345e-08	NA	NA	NA	0	0.25
