	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	HSC2KC	LSEC2KC	Hep2KC	TotalSpec	Newinfluence
43	E2f1	0.575365187070022	123.385969196346	0.124999976659673	1377.66666666667	0.124999976659673	7.27227033893533e-111	1	0	0	1	0.393841296767505
44	Rel	0.530083875223824	109.120649104167	0.161209937448449	866.333333333333	0.161209937448449	1.18819656138762e-72	1	0	0	1	0.382520968805956
45	Klf2	0.518487104577011	81.2922201376148	0.931319012142157	1808.66666666667	0.931319012142157	0	0	0	1	1	0.379621776144253
46	Irf1	0.482910815820061	94.0080713798807	0.280863194213068	1162	0.280863194213068	1.0678574719287e-134	0	0	1	1	0.370727703955015
47	Cebpg	0.480240630791945	85.6654537853329	0.287921248850898	1588	0.287921248850898	0	1	0	0	1	0.370060157697986
48	Mitf	0.473418150975403	180.790942534866	0.0775806598573023	10139.3333333333	0.0775806598573023	1.94535253006752e-44	0	1	0	1	0.368354537743851
49	Stat6	0.472245782678353	145.122074239062	0.11660395227632	4456	0.11660395227632	1.76176098515021e-35	0	0	1	1	0.368061445669588
50	Klf4	0.440030785662677	104.386954615083	0.159400065981202	1296.33333333333	0.159400065981202	1.78059707316928e-87	0	0	1	1	0.360007696415669
51	Jun	0.431046398391606	141.947079819886	0.11615948361238	3407	0.11615948361238	5.3507433651628e-15	0	0	1	1	0.357761599597902
52	Zbtb7a	0.418967737882072	75.6494705700246	0.235005819824851	564.333333333333	0.235005819824851	1.61053820032653e-145	0	0	1	1	0.354741934470518
53	Irf9	0.404187478402915	95.216478508513	0.116604528599197	1525.66666666667	0.116604528599197	6.31958985841793e-66	0	0	1	1	0.351046869600729
54	Fli1	0.40316652530393	80.9234045397404	0.230974600242591	1870	0.230974600242591	8.7853542972234e-73	0	0	1	1	0.350791631325982
55	Sin3b	0.380611315301731	107.476257476755	0.11474777987258	3029	0.11474777987258	3.70851729467893e-88	1	0	0	1	0.345152828825433
56	Fosb	0.349998429302925	107.343987033911	0.122356167888352	1781.33333333333	0.122356167888352	8.32881753155427e-12	0	0	1	1	0.337499607325731
57	Bach1	0.33058461345145	96.2752168428858	0.0532483061900765	1056.66666666667	0.0532483061900765	1.51344428032591e-13	1	0	0	1	0.332646153362862
58	Sp100	0.302469135802469	75.3272667052098	0.251376529622169	1690.66666666667	0.251376529622169	0	0	0	1	1	0.325617283950617
59	Klf7	0.255144032921811	50.1724608657488	0.145268617882325	538.333333333333	0.145268617882325	0	0	0	1	1	0.313786008230453
60	Tef	0.248888888888889	43.3803601047929	0.0292869949523934	1346.66666666667	0.0292869949523934	4.97490579003713e-173	0	1	0	1	0.312222222222222
61	Etv1	0.246913580246914	122.669040581334	0.041440058871573	6820.33333333333	0.041440058871573	0	0	0	1	1	0.311728395061728
62	Ets2	0.244855967078189	75.5164062819273	0.0518459319091917	959	0.0518459319091917	0	0	0	1	1	0.311213991769547
63	Smad7	0.240740740740741	113.696503125086	0.0404640809944193	4248.33333333333	0.0404640809944193	5.02515655521733e-88	0	0	1	1	0.310185185185185
64	Hlx	0.234567901234568	92.8103360576167	0.0433549442513627	2966.33333333333	0.0433549442513627	0	0	0	1	1	0.308641975308642
65	Atf1	0.0438676844783715	46.9903111163071	0.00369664721700963	206	0.00369664721700963	2.16456533824775e-06	NA	NA	NA	0	0.25
66	Atf3	0.361291741274778	91.9952170739564	0.076859784380528	1299.66666666667	0.076859784380528	2.79093454719889e-51	NA	NA	NA	0	0.25
67	Atf4	0.203562340966921	40.1438529829846	0.0499021031937117	429.666666666667	0.0499021031937117	4.4618969939174e-41	NA	NA	NA	0	0.25
68	Atf6b	0.300662834165803	74.9143803303993	0.084037164810495	519.666666666667	0.084037164810495	1.43846814231072e-60	NA	NA	NA	0	0.25
69	Atf7	0.277495052304213	47.197366107044	0.09272940220035	414.333333333333	0.09272940220035	5.9252283514338e-44	NA	NA	NA	0	0.25
70	Bcl3	0.193350296861747	63.8904031447081	0.0333103911009198	759.666666666667	0.0333103911009198	0.00454440437999213	NA	NA	NA	0	0.25
71	Bclaf1	0.0679012345679012	44.5756486544497	0.00205358127113663	296.333333333333	0.00205358127113663	0.010003381500187	NA	NA	NA	0	0.25
72	Cbfb	0.435230107121541	100.236617277977	0.141291583036078	729	0.141291583036078	0.0160605934670707	NA	NA	NA	0	0.25
73	Cbx1	0.0407124681933842	22.3263361849167	0.0166073219556686	44	0.0166073219556686	8.87020263492067e-12	NA	NA	NA	0	0.25
74	Cbx3	0.0330788804071247	4.13220220218452	0.0171813097086908	29.3333333333333	0.0171813097086908	8.83662723219087e-09	NA	NA	NA	0	0.25
75	Ccnt2	0.00411522633744856	11.370474705511	0	38.3333333333333	0.0087348517436649	0.291428605705268	NA	NA	NA	0	0.25
76	Cdc5l	0.0905821003361292	26.3078009754441	0.0580719773418078	99.3333333333333	0.0580719773418078	1.855750507767e-21	NA	NA	NA	0	0.25
77	Cebpd	0.232510288065844	49.3886287284447	0.102428192824184	440.333333333333	0.102428192824184	0	NA	NA	NA	0	0.25
78	Cebpz	0.165394402035623	41.6852611015258	0.0331797921694915	446.333333333333	0.0331797921694915	1.85260311101218e-42	NA	NA	NA	0	0.25
79	Cenpb	0.446140797285835	85.3380926470856	0.176101922186328	707.333333333333	0.176101922186328	1.07987014747413e-155	NA	NA	NA	0	0.25
80	Cic	0.250463355637232	85.1033596792768	0.0583359271024269	804	0.0583359271024269	2.45449652880438e-36	NA	NA	NA	0	0.25
81	Creb1	0.0534979423868313	23.5302302100768	0.034929230133344	70	0.034929230133344	1.11203556864839e-45	NA	NA	NA	0	0.25
82	Creb3	0.083058461345145	28.1346684267296	0.0507778227700173	120	0.0507778227700173	1.5471276712265e-22	NA	NA	NA	0	0.25
83	Crtc2	0.198818835799328	92.3900947535272	0.0263797671317195	1009	0.0263797671317195	7.485491902807e-11	NA	NA	NA	0	0.25
84	Ctcf	0.0102880658436214	2.64170895414567	0.00435079952527413	26.3333333333333	0.00435079952527413	3.6613104624205e-11	NA	NA	NA	0	0.25
85	Ddit3	0.128043225583514	32.2940138193678	0.0466430380202873	187.666666666667	0.0466430380202873	1.58449468532028e-18	NA	NA	NA	0	0.25
86	E2f4	0.237850658122075	73.8683850530649	0.071089733244966	417	0.071089733244966	1.07550125656764e-54	NA	NA	NA	0	0.25
87	Ebna1bp2	0.290201991643892	111.19218708136	0.0321317014705296	2092.66666666667	0.0321317014705296	2.80126717687907e-12	NA	NA	NA	0	0.25
88	Egr1	0.160493827160494	38.9423444483941	0.0543101760647543	241.666666666667	0.0543101760647543	1.40934024833483e-82	NA	NA	NA	0	0.25
89	Elf1	0.0967078189300411	52.1861317341825	0.0042210004896682	529.333333333333	0.0042210004896682	0.0150551370316057	NA	NA	NA	0	0.25
90	Eno1	0.306972010178117	62.4257034961781	0.0760105596877273	559	0.0760105596877273	1.35389677986155e-57	NA	NA	NA	0	0.25
91	Ep300	0.27262589137059	90.9363644939004	0.0654700606365622	1009	0.0654700606365622	2.25679943257478e-15	NA	NA	NA	0	0.25
92	Erf	0.294866961957717	109.617571223365	0.0342061272652052	770.333333333333	0.0342061272652052	4.70068126462057e-22	NA	NA	NA	0	0.25
93	Esrra	0.222527565733673	61.7270372884576	0.0560923087455327	481	0.0560923087455327	5.0677056263319e-42	NA	NA	NA	0	0.25
94	Ets1	0.205761316872428	57.0827384884504	0.039547396899036	538	0.039547396899036	0	NA	NA	NA	0	0.25
95	Etv3	0.174190305657651	51.157985921854	0.0523161492597683	393.666666666667	0.0523161492597683	2.28521561846386e-26	NA	NA	NA	0	0.25
96	Ewsr1	0.1991329752144	64.968540908942	0.0692312642064673	318.333333333333	0.0692312642064673	1.03519795790365e-06	NA	NA	NA	0	0.25
97	Ezh1	0.0544717745735557	25.7338051374185	0.0295105382424372	94.6666666666667	0.0295105382424372	1.83610996384626e-06	NA	NA	NA	0	0.25
98	Fosl2	0.408946690541262	104.858499581923	0.080028542297084	1535.66666666667	0.080028542297084	3.21384258713855e-56	NA	NA	NA	0	0.25
99	Foxj2	0.390990481575723	103.989742586708	0.102296679808641	833.666666666667	0.112801501710663	0.167762236581373	NA	NA	NA	0	0.25
100	Foxo3	0.128888888888889	40.2420404972865	0.00145959760571293	801.333333333333	0.00145959760571293	0.0040758481054312	NA	NA	NA	0	0.25
101	Gabpa	0.0532780447962806	35.956388887893	0.0171201447258161	153.666666666667	0.0171201447258161	4.525795081784e-13	NA	NA	NA	0	0.25
102	Gtf3c2	0.395627179342192	101.700762336251	0.077181369377799	1242.33333333333	0.077181369377799	4.71938091081577e-44	NA	NA	NA	0	0.25
103	Gzf1	0.286039016115352	84.5892858335059	0.0245742248290323	1448.66666666667	0.0245742248290323	2.59411938043916e-05	NA	NA	NA	0	0.25
104	Hbp1	0.115807495366444	42.4588894411164	0.0385661636304099	118	0.0385661636304099	9.05997173300083e-15	NA	NA	NA	0	0.25
105	Hdac1	0.0164609053497942	0.33655484773942	0.0154822499370403	4	0.0154822499370403	3.9023438819236e-05	NA	NA	NA	0	0.25
106	Hdac2	0.0432098765432099	0.969833006784696	0.0410629351280837	10.6666666666667	0.0410629351280837	4.26556896894883e-05	NA	NA	NA	0	0.25
107	Hes1	0.239641252787987	0.222148089024017	0.272807174550474	4.66666666666667	0.272807174550474	9.59854180987257e-73	NA	NA	NA	0	0.25
108	Hic1	0.186645933465272	42.4265583551869	0.060591314495427	304.333333333333	0.0650503387529273	0.0322344259357522	NA	NA	NA	0	0.25
109	Hif1a	0.0585241730279898	0.071419426088695	0.0366826824249207	3.33333333333333	0.0366826824249207	5.48060877858807e-37	NA	NA	NA	0	0.25
110	Hivep1	0.00444444444444444	12.7236254157906	0.0024375680078992	60.6666666666667	0.0024375680078992	0.0004867582360613	NA	NA	NA	0	0.25
111	Hltf	0.562973015424245	123.770993991354	0.113843313660039	1538.33333333333	0.113843313660039	5.92531427652667e-52	NA	NA	NA	0	0.25
112	Irf3	0.219332139603556	104.571945601617	0.0145485933810949	740.666666666667	0.0228968490204243	0.0631798694558085	NA	NA	NA	0	0.25
113	Jund	0.358810039895706	25.2899476068827	0.445925707824244	89.3333333333333	0.445925707824244	9.44562295256337e-283	NA	NA	NA	0	0.25
114	Keap1	0.272877202902648	70.2258304632774	0.09025596869265	374.666666666667	0.09025596869265	2.03669734671436e-59	NA	NA	NA	0	0.25
115	Klf10	0.369255175446863	86.4986433242003	0.08757815684362	699.666666666667	0.08757815684362	2.3232267995521e-44	NA	NA	NA	0	0.25
116	Klf13	0.288301448182703	95.1181589216399	0.0359608726203032	727.333333333333	0.0359608726203032	0.00052137866949518	NA	NA	NA	0	0.25
117	Klf3	0.364495963308516	61.9664004356027	0.209241948358057	308.666666666667	0.209241948358057	7.75706372254327e-138	NA	NA	NA	0	0.25
118	Lmo2	0.384098262809035	51.4707698839575	0.256296118229861	254	0.256296118229861	0	NA	NA	NA	0	0.25
119	Mafg	0.152671755725191	51.8527109290147	0.0129763052833744	1292.66666666667	0.0129763052833744	3.16096783717317e-12	NA	NA	NA	0	0.25
120	Maz	0.298432444318789	76.7291368421875	0.0904408439371133	469	0.0904408439371133	1.33613959922197e-52	NA	NA	NA	0	0.25
